Index,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
181,New Zealand,"2,729",+4,26 ,,"2,682",+2,21,,546,5,"2,261,870","452,184","5,002,100 "
182,Sint Maarten,"2,601",,33 ,,"2,516",,52,2,"59,996",761,"28,642","660,669","43,353 "
183,Monaco,"2,570",,33 ,,"2,499",,38,1,"65,039",835,"51,953","1,314,767","39,515 "
184,Bermuda,"2,510",,33 ,,"2,464",,13,7,"40,450",532,"313,606","5,053,923","62,052 "
185,Turks and Caicos,"2,424",,18 ,,"2,396",,10,2,"61,789",459,"94,789","2,416,238","39,230 "
186,Sao Tome and Principe,"2,365",,37 ,,"2,318",,10,,"10,599",166,"14,270","63,951","223,140 "
187,Saint Martin,"2,276",,12 ,,"1,399",,865,7,"57,897",305,"39,038","993,055","39,311 "
188,St. Vincent Grenadines,"2,216",,12 ,,"1,967",,237,2,"19,913",108,"54,204","487,069","111,286 "
189,Laos,"2,100",+6,3 ,,"1,972",+4,125,,285,0.4,"289,377","39,217","7,378,960 "
190,Bhutan,"2,027",+14,1 ,,"1,740",,286,,"2,599",1,"798,573","1,023,894","779,937 "
191,Mauritius,"1,833",,18 ,,"1,411",,404,,"1,439",14,"358,675","281,569","1,273,842 "
192,Caribbean Netherlands,"1,636",,17 ,,"1,611",,8,,"61,825",642,"8,550","323,105","26,462 "
193,Isle of Man,"1,604",,29 ,,"1,569",,6,1,"18,766",339,"66,925","782,977","85,475 "
195,St. Barth,"1,005",,1 ,,462,,542,,"101,443",101,"26,385","2,663,268","9,907 "
196,Faeroe Islands,770,,1 ,,757,,12,,"15,700",20,"303,504","6,188,276","49,045 "
198,Cayman Islands,609,,2 ,,590,,17,,"9,161",30,"105,379","1,585,171","66,478 "
199,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"61,393,920 "
201,Saint Kitts and Nevis,428,,3 ,,112,,313,1,"7,990",56,"20,600","384,558","53,568 "
202,British Virgin Islands,298,,1 ,,293,,4,,"9,794",33,"53,674","1,763,967","30,428 "
203,Brunei ,259,+2,3 ,,245,,11,,587,7,"139,503","315,913","441,587 "
204,Dominica,192,, ,,189,,3,,"2,661",,"18,388","254,816","72,162 "
206,New Caledonia,129,, ,,58,,71,,448,,"34,704","120,421","288,190 "
209,Macao,53,, ,,51,,2,,81,,"4,483","6,813","658,006 "
210,Greenland,50,, ,,40,,10,,879,,"28,389","499,217","56,867 "
212,Saint Pierre Miquelon,26,, ,,25,,1,,"4,509",,"6,128","1,062,782","5,766 "
215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"611,681 "
222,China,"91,718",+25,"4,636 ",,"86,608",+37,474,14,64,3,"160,000,000","111,163","1,439,323,776 "
